patient_id	doctor_id	label	satisfying_score
18	224	0	0.317
18	258	0	0.359
18	209	0	0.383
18	375	0	0.425
18	115	0	0.423
19	1	1	0.399
19	2	1	0.492
19	5	1	0.836
19	14	1	0.648
19	22	1	0.6
19	280	0	0.527
19	216	0	0.448
19	129	0	0.398
19	261	0	0.253
20	2	1	0.533
20	3	1	0.515
20	6	1	0.488
20	9	1	0.687
20	14	1	0.513
20	31	1	0.606
20	188	0	0.342
20	38	0	0.5
20	291	0	0.234
20	140	0	0.409
20	294	0	0.483
21	2	1	0.538
21	2	1	0.538
21	9	1	0.673
21	12	1	0.635
21	22	1	0.603
21	46	0	0.399
21	203	0	0.425
21	188	0	0.513
21	389	0	0.551
21	68	0	0.424
21	103	0	0.281
22	2	1	0.581
22	1	1	0.773
22	2	1	0.581
22	9	1	0.615
22	23	1	0.534
22	273	0	0.466
22	217	0	0.298
22	317	0	0.227
22	132	0	0.46
23	2	1	0.625
23	4	1	0.615
23	8	1	0.621
23	15	1	0.585
23	30	1	0.634
23	31	1	0.628
23	35	1	0.421
23	76	0	0.309
23	125	0	0.487
23	148	0	0.464
23	121	0	0.464
24	2	1	0.594
24	13	1	0.512
24	16	1	0.911
24	21	1	0.484
24	36	1	0.46
24	390	0	0.449
24	389	0	0.543
24	142	0	0.442
24	402	0	0.542
25	2	1	0.577
25	2	1	0.577
25	9	1	0.606
25	11	1	0.608
25	12	1	0.572
25	22	1	0.578
25	265	0	0.345
25	191	0	0.435
25	384	0	0.484
25	137	0	0.276
25	267	0	0.427
25	385	0	0.487
25	295	0	0.359
26	2	1	0.594
26	7	1	0.651
26	9	1	0.618
26	16	1	0.765
26	20	1	0.6
26	28	1	0.572
26	29	1	0.582
26	32	1	0.509
26	66	0	0.341
26	156	0	0.216
26	278	0	0.186
26	274	0	0.35
27	2	1	0.539
27	4	1	0.517
27	5	1	0.602
27	22	1	0.566
27	27	1	0.523
27	30	1	0.632
27	62	0	0.34
27	213	0	0.455
27	267	0	0.32
27	287	0	0.357
27	394	0	0.286
27	63	0	0.489
28	2	1	0.483
28	3	1	0.506
28	7	1	0.64
28	9	1	0.662
28	15	1	0.595
28	169	0	0.375
28	178	0	0.398
28	214	0	0.49
28	250	0	0.454
28	71	0	0.205
28	150	0	0.399
28	304	0	0.351
29	2	1	0.26
29	2	1	0.26
29	7	1	0.501
29	333	0	0.267
29	306	0	0.387
29	101	0	0.353
29	352	0	0.114
29	332	0	0.52
30	2	1	0.45
30	7	1	0.635
30	10	1	0.592
30	11	1	0.714
30	19	1	0.716
30	24	1	0.674
30	29	1	0.582
30	335	0	0.204
30	170	0	0.371
30	270	0	0.262
30	348	0	0.301
30	165	0	0.472
31	2	1	0.462
31	1	1	0.63
31	5	1	0.799
31	11	1	0.624
31	14	1	0.547
31	22	1	0.735
31	188	0	0.347
31	381	0	0.423
31	362	0	0.339
31	252	0	0.476
32	2	1	0.512
32	1	1	0.608
32	2	1	0.512
32	9	1	0.558
32	14	1	0.598
32	248	0	0.361
32	110	0	0.466
32	324	0	0.494
32	245	0	0.313
32	249	0	0.28
32	40	0	0.219
32	201	0	0.276
33	2	1	0.544
33	2	1	0.544
33	9	1	0.6
33	17	1	0.566
33	18	1	0.62
33	19	1	0.516
33	23	1	0.526
33	307	0	0.413
33	402	0	0.735
33	228	0	0.322
33	289	0	0.493
34	2	1	0.424
34	1	1	0.564
34	3	1	0.618
34	11	1	0.665
34	17	1	0.626
34	21	1	0.512
34	23	1	0.671
34	35	1	0.474
34	59	0	0.438
34	195	0	0.503
34	143	0	0.351
34	103	0	0.274
35	2	1	0.482
35	8	1	0.461
35	9	1	0.56
35	25	1	0.671
35	290	0	0.302
35	405	0	0.356
35	211	0	0.6
35	411	0	0.511
35	326	0	0.302
35	277	0	0.382
35	230	0	0.274
36	2	1	0.367
36	2	1	0.367
36	7	1	0.528
36	20	1	0.698
36	21	1	0.704
36	69	0	0.36
36	126	0	0.53
36	244	0	0.504
36	359	0	0.352
36	64	0	0.55
37	2	1	0.426
37	2	1	0.426
37	7	1	0.684
37	94	0	0.155
37	392	0	0.313
37	405	0	0.448
37	121	0	0.417
38	2	1	0.519
38	2	1	0.519
38	7	1	0.726
38	20	1	0.765
38	21	1	0.643
38	22	1	0.608
38	219	0	0.353
38	281	0	0.301
38	403	0	0.427
38	84	0	0.41
38	125	0	0.522
38	348	0	0.415
39	2	1	0.427
39	14	1	0.582
39	26	1	0.554
39	29	1	0.577
39	205	0	0.476
39	119	0	0.503
39	228	0	0.279
39	110	0	0.43
39	124	0	0.282
40	3	1	0.473
40	2	1	0.483
40	11	1	0.63
40	17	1	0.759
40	23	1	0.578
40	27	1	0.47
40	28	1	0.688
40	230	0	0.229
40	308	0	0.304
40	43	0	0.396
40	64	0	0.328
40	327	0	0.224
41	3	1	0.417
41	2	1	0.603
41	3	1	0.417
41	7	1	0.55
41	9	1	0.682
41	33	1	0.736
41	34	1	0.568
41	306	0	0.258
41	159	0	0.482
41	131	0	0.388
41	353	0	0.374
41	239	0	0.377
42	3	1	0.504
42	2	1	0.483
42	11	1	0.621
42	13	1	0.649
42	16	1	0.839
42	32	1	0.575
42	413	0	0.245
42	79	0	0.385
42	227	0	0.562
42	352	0	0.271
43	3	1	0.398
43	16	1	0.68
43	17	1	0.709
43	21	1	0.506
43	29	1	0.669
43	34	1	0.42
43	36	1	0.444
43	330	0	0.308
43	198	0	0.418
43	304	0	0.394
43	289	0	0.51
43	246	0	0.355
43	321	0	0.418
43	308	0	0.352
44	3	1	0.443
44	8	1	0.398
44	19	1	0.497
44	25	1	0.467
44	33	1	0.761
44	144	0	0.488
44	364	0	0.378
44	236	0	0.491
44	239	0	0.302
44	356	0	0.567
44	62	0	0.436
44	329	0	0.247
45	3	1	0.421
45	7	1	0.695
45	9	1	0.894
45	11	1	0.586
45	19	1	0.636
45	25	1	0.553
45	26	1	0.71
45	119	0	0.536
45	243	0	0.238
45	304	0	0.341
45	228	0	0.268
45	164	0	0.297
46	3	1	0.472
46	6	1	0.403
46	10	1	0.522
46	11	1	0.548
46	20	1	0.602
46	24	1	0.512
46	347	0	0.428
46	317	0	0.401
46	104	0	0.402
46	194	0	0.341
46	385	0	0.315
47	3	1	0.301
47	6	1	0.482
47	11	1	0.548
47	28	1	0.558
47	34	1	0.477
47	106	0	0.593
47	310	0	0.247
47	412	0	0.466
47	404	0	0.282
48	3	1	0.506
48	3	1	0.506
48	7	1	0.579
48	9	1	0.611
48	34	1	0.65
48	274	0	0.271
48	129	0	0.41
48	81	0	0.399
48	88	0	0.498
48	123	0	0.472
49	3	1	0.448
49	9	1	0.589
49	17	1	0.638
49	21	1	0.524
49	28	1	0.777
49	76	0	0.344
49	39	0	0.386
49	68	0	0.468
49	61	0	0.441
50	3	1	0.469
50	19	1	0.5
50	25	1	0.585
50	32	1	0.588
50	376	0	0.438
50	200	0	0.484
50	52	0	0.434
50	303	0	0.366
50	126	0	0.316
50	187	0	0.315
51	3	1	0.48
51	2	1	0.508
51	4	1	0.562
51	9	1	0.587
51	16	1	0.66
51	17	1	0.687
51	208	0	0.444
51	100	0	0.392
51	292	0	0.347
51	225	0	0.294
51	263	0	0.366
51	403	0	0.44
52	3	1	0.287
52	5	1	0.725
52	7	1	0.67
52	25	1	0.588
52	28	1	0.56
52	110	0	0.417
52	410	0	0.406
52	293	0	0.232
52	277	0	0.369
52	146	0	0.412
52	356	0	0.482
53	3	1	0.393
53	19	1	0.616
53	20	1	0.808
53	25	1	0.449
53	28	1	0.558
53	30	1	0.644
53	202	0	0.346
53	235	0	0.276
53	401	0	0.433
53	189	0	0.173
53	281	0	0.255
53	231	0	0.251
54	3	1	0.384
54	2	1	0.499
54	7	1	0.586
54	9	1	0.634
54	34	1	0.432
54	205	0	0.517
54	288	0	0.382
54	263	0	0.293
54	321	0	0.292
54	224	0	0.37
54	397	0	0.492
54	411	0	0.427
55	3	1	0.347
55	10	1	0.599
55	11	1	0.551
55	20	1	0.537
55	23	1	0.479
55	28	1	0.578
55	32	1	0.503
55	375	0	0.471
55	122	0	0.471
55	184	0	0.312
55	365	0	0.275
55	177	0	0.47
55	405	0	0.334
55	310	0	0.319
56	4	1	0.653
56	6	1	0.535
56	16	1	0.722
56	19	1	0.564
56	20	1	0.537
56	200	0	0.438
56	157	0	0.312
56	339	0	0.172
56	298	0	0.412
57	4	1	0.45
57	2	1	0.544
57	5	1	0.601
57	9	1	0.689
57	22	1	0.593
57	27	1	0.536
57	30	1	0.614
57	34	1	0.534
57	228	0	0.336
57	173	0	0.325
57	371	0	0.352
57	321	0	0.379
57	285	0	0.35
57	367	0	0.477
58	4	1	0.533
58	8	1	0.393
58	15	1	0.557
58	16	1	0.721
58	31	1	0.614
58	307	0	0.282
58	397	0	0.462
58	148	0	0.4
58	301	0	0.315
59	4	1	0.526
59	12	1	0.621
59	15	1	0.567
59	26	1	0.522
59	30	1	0.786
59	319	0	0.459
59	104	0	0.339
59	131	0	0.382
59	300	0	0.4
59	244	0	0.391
60	4	1	0.604
60	4	1	0.604
60	8	1	0.476
60	20	1	0.566
60	22	1	0.642
60	32	1	0.615
60	206	0	0.425
60	68	0	0.349
60	132	0	0.383
60	383	0	0.378
60	97	0	0.336
60	297	0	0.355
61	4	1	0.519
61	7	1	0.608
61	14	1	0.719
61	19	1	0.716
61	22	1	0.576
61	85	0	0.483
61	171	0	0.516
61	343	0	0.476
61	176	0	0.438
62	4	1	0.539
62	1	1	0.686
62	11	1	0.589
62	14	1	0.543
62	15	1	0.561
62	18	1	0.559
62	396	0	0.28
62	258	0	0.303
62	232	0	0.384
62	376	0	0.417
62	406	0	0.618
62	103	0	0.43
62	42	0	0.393
63	4	1	0.486
63	8	1	0.442
63	12	1	0.598
63	20	1	0.67
63	29	1	0.605
63	30	1	0.666
63	281	0	0.243
63	155	0	0.474
63	81	0	0.514
63	219	0	0.508
63	330	0	0.323
63	168	0	0.223
64	4	1	0.646
64	6	1	0.477
64	9	1	0.666
64	17	1	0.611
64	34	1	0.52
64	395	0	0.338
64	325	0	0.496
64	95	0	0.51
64	98	0	0.474
64	280	0	0.288
65	4	1	0.795
65	6	1	0.404
65	17	1	0.61
65	25	1	0.538
65	30	1	0.656
65	233	0	0.459
65	163	0	0.274
65	306	0	0.352
65	101	0	0.499
65	42	0	0.389
66	4	1	0.547
66	11	1	0.599
66	12	1	0.836
66	14	1	0.48
66	15	1	0.677
66	19	1	0.645
66	31	1	0.531
66	385	0	0.452
66	195	0	0.404
66	238	0	0.304
66	184	0	0.293
67	4	1	0.622
67	1	1	0.699
67	16	1	0.864
67	19	1	0.468
67	23	1	0.524
67	27	1	0.508
67	28	1	0.509
67	327	0	0.3
67	50	0	0.062
67	275	0	0.482
67	205	0	0.407
67	108	0	0.303
67	90	0	0.505
67	402	0	0.644
68	4	1	0.409
68	1	1	0.56
68	7	1	0.519
68	17	1	0.595
68	216	0	0.235
68	350	0	0.357
68	166	0	0.386
68	364	0	0.224
68	378	0	0.335
69	4	1	0.546
69	4	1	0.546
69	8	1	0.567
69	9	1	0.699
69	11	1	0.644
69	20	1	0.672
69	31	1	0.7
69	276	0	0.456
69	192	0	0.243
69	205	0	0.565
69	318	0	0.371
69	46	0	0.476
70	4	1	0.697
70	2	1	0.718
70	4	1	0.697
70	9	1	0.569
70	17	1	0.577
70	22	1	0.568
70	34	1	0.568
70	223	0	0.386
70	275	0	0.44
70	88	0	0.382
70	209	0	0.285
70	323	0	0.367
70	303	0	0.377
70	194	0	0.264
71	4	1	0.607
71	9	1	0.692
71	12	1	0.598
71	15	1	0.604
71	31	1	0.678
71	373	0	0.403
71	404	0	0.281
71	214	0	0.439
71	197	0	0.423
71	224	0	0.415
71	317	0	0.362
72	4	1	0.558
72	5	1	0.644
72	7	1	0.586
72	22	1	0.563
72	31	1	0.593
72	196	0	0.287
72	248	0	0.252
72	354	0	0.244
72	83	0	0.598
72	275	0	0.421
72	180	0	0.389
73	4	1	0.607
73	2	1	0.536
73	8	1	0.526
73	15	1	0.643
73	22	1	0.573
73	31	1	0.484
73	305	0	0.223
73	185	0	0.292
73	334	0	0.433
73	335	0	0.269
74	4	1	0.59
74	2	1	0.499
74	8	1	0.478
74	9	1	0.571
74	30	1	0.661
74	31	1	0.756
74	394	0	0.369
74	45	0	0.378
74	86	0	0.37
74	279	0	0.435
74	245	0	0.345
75	5	1	0.641
75	5	1	0.641
75	7	1	0.638
75	28	1	0.506
75	31	1	0.524
75	32	1	0.431
75	239	0	0.398
75	303	0	0.244
75	56	0	0.261
75	128	0	0.346
75	326	0	0.297
76	5	1	0.832
76	2	1	0.581
76	3	1	0.488
76	22	1	0.678
76	23	1	0.571
76	27	1	0.457
76	30	1	0.595
76	122	0	0.408
76	201	0	0.288
76	242	0	0.312
76	282	0	0.358
76	332	0	0.469
76	63	0	0.319
76	73	0	0.348
77	5	1	0.729
77	12	1	0.704
77	15	1	0.671
77	19	1	0.624
77	21	1	0.474
77	40	0	0.239
77	236	0	0.485
77	394	0	0.481
77	142	0	0.445
77	55	0	0.259
78	5	1	0.467
78	5	1	0.467
78	13	1	0.488
78	14	1	0.467
78	24	1	0.513
78	26	1	0.652
78	34	1	0.477
78	236	0	0.45
78	45	0	0.27
78	379	0	0.456
78	200	0	0.411
78	69	0	0.328
79	5	1	0.469
79	15	1	0.643
79	20	1	0.549
79	21	1	0.497
79	30	1	0.65
79	34	1	0.42
79	35	1	0.493
79	141	0	0.41
79	269	0	0.355
79	150	0	0.306
79	145	0	0.394
79	48	0	0.518
80	5	1	0.396
80	5	1	0.396
80	7	1	0.632
80	10	1	0.435
80	18	1	0.74
80	31	1	0.633
80	379	0	0.282
80	373	0	0.407
80	331	0	0.331
80	89	0	0.39
80	322	0	0.256
80	399	0	0.403
81	5	1	0.614
81	1	1	0.605
81	11	1	0.758
81	18	1	0.541
81	32	1	0.434
81	35	1	0.533
81	412	0	0.343
81	338	0	0.193
81	369	0	0.369
81	358	0	0.501
82	5	1	0.469
82	2	1	0.577
82	9	1	0.568
82	12	1	0.613
82	16	1	0.715
82	22	1	0.66
82	64	0	0.458
82	402	0	0.687
82	362	0	0.294
82	300	0	0.399
82	368	0	0.445
82	273	0	0.468
83	5	1	0.664
83	1	1	0.575
83	2	1	0.508
83	8	1	0.577
83	12	1	0.574
83	151	0	0.215
83	255	0	0.374
83	256	0	0.218
83	106	0	0.328
83	358	0	0.474
84	5	1	0.598
84	5	1	0.598
84	16	1	0.789
84	21	1	0.717
84	22	1	0.622
84	33	1	0.762
84	382	0	0.348
84	211	0	0.616
84	151	0	0.419
84	150	0	0.318
84	346	0	0.425
85	5	1	0.668
85	5	1	0.668
85	7	1	0.56
85	16	1	0.711
85	22	1	0.578
85	25	1	0.49
85	31	1	0.575
85	165	0	0.517
85	204	0	0.266
85	161	0	0.279
85	390	0	0.328
85	189	0	0.451
85	308	0	0.351
86	5	1	0.681
86	5	1	0.681
86	13	1	0.57
86	14	1	0.497
86	26	1	0.539
86	230	0	0.248
86	227	0	0.57
86	357	0	0.505
86	134	0	0.42
86	215	0	0.346
87	5	1	0.513
87	12	1	0.672
87	14	1	0.488
87	17	1	0.576
87	26	1	0.482
87	52	0	0.374
87	69	0	0.309
87	92	0	0.344
87	310	0	0.39
87	139	0	0.357
88	5	1	0.631
88	7	1	0.59
88	16	1	0.786
88	20	1	0.641
88	22	1	0.584
88	25	1	0.513
88	36	1	0.471
88	251	0	0.323
88	214	0	0.48
88	71	0	0.278
88	51	0	0.463
88	143	0	0.383
88	228	0	0.329
89	5	1	0.728
89	3	1	0.594
89	16	1	0.76
89	19	1	0.465
89	20	1	0.547
89	22	1	0.574
89	31	1	0.501
89	282	0	0.364
89	306	0	0.346
89	294	0	0.496
89	263	0	0.372
89	381	0	0.412
89	163	0	0.365
90	6	1	0.639
90	4	1	0.536
90	9	1	0.579
90	17	1	0.565
90	34	1	0.534
90	386	0	0.344
90	245	0	0.263
90	75	0	0.327
90	362	0	0.307
90	401	0	0.48
90	219	0	0.235
91	6	1	0.39
91	3	1	0.573
91	19	1	0.46
91	26	1	0.607
91	31	1	0.52
91	34	1	0.524
91	124	0	0.33
91	239	0	0.359
91	110	0	0.409
91	248	0	0.152
91	297	0	0.424
91	411	0	0.532
91	57	0	0.264
92	6	1	0.429
92	6	1	0.429
92	13	1	0.618
92	23	1	0.537
92	24	1	0.549
92	36	1	0.544
92	288	0	0.435
92	259	0	0.287
92	157	0	0.432
92	137	0	0.503
92	125	0	0.496
92	113	0	0.427
92	226	0	0.368
93	6	1	0.552
93	4	1	0.795
93	11	1	0.694
93	19	1	0.593
93	21	1	0.695
93	84	0	0.41
93	77	0	0.285
93	52	0	0.419
93	212	0	0.208
93	414	0	0.594
93	338	0	0.36
94	6	1	0.249
94	10	1	0.464
94	11	1	0.606
94	24	1	0.585
94	35	1	0.622
94	393	0	0.665
94	218	0	0.269
94	202	0	0.35
94	85	0	0.492
94	117	0	0.322
94	235	0	0.383
94	138	0	0.373
95	6	1	0.487
95	6	1	0.487
95	13	1	0.52
95	23	1	0.565
95	25	1	0.456
95	193	0	0.299
95	293	0	0.331
95	415	0	0.289
95	198	0	0.464
95	358	0	0.311
96	6	1	0.434
96	2	1	0.718
96	9	1	0.573
96	14	1	0.433
96	15	1	0.63
96	25	1	0.577
96	31	1	0.7
96	206	0	0.229
96	403	0	0.347
96	413	0	0.294
96	321	0	0.416
97	6	1	0.452
97	11	1	0.602
97	18	1	0.583
97	27	1	0.658
97	28	1	0.5
97	261	0	0.312
97	150	0	0.381
97	66	0	0.266
97	239	0	0.315
97	255	0	0.247
97	302	0	0.424
97	394	0	0.483
98	6	1	0.439
98	10	1	0.568
98	14	1	0.541
98	21	1	0.516
98	31	1	0.503
98	108	0	0.49
98	110	0	0.348
98	244	0	0.467
98	349	0	0.287
98	229	0	0.418
98	370	0	0.485
99	6	1	0.567
99	12	1	0.657
99	18	1	0.601
99	27	1	0.419
99	317	0	0.296
99	277	0	0.358
99	374	0	0.373
99	177	0	0.331
99	398	0	0.519
99	378	0	0.356
100	6	1	0.337
100	20	1	0.528
100	24	1	0.728
100	28	1	0.679
100	32	1	0.529
100	35	1	0.475
100	178	0	0.377
100	203	0	0.446
100	410	0	0.419
100	212	0	0.343
100	216	0	0.315
101	6	1	0.365
101	5	1	0.604
101	16	1	0.835
101	24	1	0.737
101	29	1	0.664
101	30	1	0.607
101	34	1	0.625
101	99	0	0.485
101	248	0	0.312
101	385	0	0.595
101	358	0	0.459
101	287	0	0.215
101	176	0	0.371
101	92	0	0.327
102	6	1	0.432
102	13	1	0.606
102	14	1	0.526
102	16	1	0.696
102	30	1	0.645
102	46	0	0.512
102	268	0	0.519
102	361	0	0.268
102	284	0	0.341
102	330	0	0.23
102	97	0	0.195
102	398	0	0.416
103	6	1	0.251
103	3	1	0.489
103	10	1	0.417
103	11	1	0.698
103	20	1	0.605
103	110	0	0.43
103	138	0	0.538
103	192	0	0.253
103	208	0	0.516
103	207	0	0.45
103	329	0	0.289
104	6	1	0.406
104	6	1	0.406
104	9	1	0.791
104	19	1	0.612
104	31	1	0.614
104	32	1	0.539
104	36	1	0.484
104	322	0	0.31
104	223	0	0.357
104	38	0	0.321
104	68	0	0.433
105	6	1	0.253
105	1	1	0.633
105	2	1	0.659
105	7	1	0.756
105	10	1	0.505
105	19	1	0.498
105	24	1	0.574
105	213	0	0.467
105	224	0	0.391
105	228	0	0.347
105	267	0	0.47
106	7	1	0.583
106	1	1	0.671
106	4	1	0.656
106	7	1	0.583
106	17	1	0.596
106	18	1	0.57
106	227	0	0.573
106	88	0	0.398
106	162	0	0.501
106	44	0	0.496
107	7	1	0.398
107	10	1	0.412
107	11	1	0.609
107	18	1	0.626
107	21	1	0.76
107	26	1	0.544
107	32	1	0.447
107	311	0	0.311
107	84	0	0.483
107	356	0	0.493
107	176	0	0.224
107	66	0	0.326
107	127	0	0.438
107	50	0	0.496
108	7	1	0.577
108	9	1	0.566
108	10	1	0.545
108	14	1	0.475
108	32	1	0.526
108	36	1	0.534
108	338	0	0.205
108	185	0	0.298
108	391	0	0.476
108	110	0	0.465
108	257	0	0.388
108	178	0	0.29
108	236	0	0.528
109	7	1	0.543
109	4	1	0.649
109	19	1	0.586
109	22	1	0.649
109	324	0	0.461
109	319	0	0.355
109	224	0	0.287
109	174	0	0.282
109	240	0	0.306
110	7	1	0.323
110	1	1	0.717
110	4	1	0.549
110	11	1	0.592
110	24	1	0.485
110	29	1	0.59
110	390	0	0.344
110	338	0	0.264
110	305	0	0.201
110	75	0	0.235
110	109	0	0.592
110	191	0	0.182
110	58	0	0.28
111	7	1	0.417
111	3	1	0.481
111	11	1	0.707
111	34	1	0.667
111	294	0	0.573
111	96	0	0.412
111	126	0	0.57
111	135	0	0.344
111	361	0	0.357
111	129	0	0.376
112	7	1	0.5
112	5	1	0.724
112	7	1	0.5
112	15	1	0.663
112	20	1	0.613
112	23	1	0.501
112	25	1	0.587
112	30	1	0.739
112	345	0	0.445
112	225	0	0.424
112	64	0	0.222
112	125	0	0.541
112	277	0	0.458
112	231	0	0.363
112	330	0	0.356
113	7	1	0.51
113	2	1	0.496
113	18	1	0.661
113	22	1	0.63
113	30	1	0.64
113	36	1	0.605
113	258	0	0.38
113	111	0	0.493
113	350	0	0.41
113	304	0	0.343
114	7	1	0.728
114	1	1	0.707
114	7	1	0.728
114	10	1	0.504
114	14	1	0.494
114	28	1	0.578
114	36	1	0.606
114	366	0	0.586
114	384	0	0.446
114	85	0	0.358
114	194	0	0.331
114	205	0	0.56
114	158	0	0.435
115	7	1	0.676
115	4	1	0.646
115	13	1	0.495
115	16	1	0.816
115	20	1	0.665
115	31	1	0.481
115	364	0	0.294
115	46	0	0.391
115	204	0	0.367
115	72	0	0.335
115	220	0	0.237
115	264	0	0.329
116	7	1	0.356
116	2	1	0.512
116	3	1	0.618
116	9	1	0.622
116	22	1	0.62
116	25	1	0.489
116	259	0	0.348
116	263	0	0.275
116	115	0	0.262
116	352	0	0.409
117	7	1	0.444
117	16	1	0.877
117	18	1	0.59
117	21	1	0.493
117	23	1	0.504
117	243	0	0.232
117	249	0	0.268
117	267	0	0.446
117	99	0	0.531
117	173	0	0.205
117	174	0	0.495
117	370	0	0.484
118	7	1	0.417
118	2	1	0.492
118	8	1	0.551
118	13	1	0.543
118	19	1	0.497
118	21	1	0.514
118	25	1	0.547
118	29	1	0.613
118	252	0	0.375
118	369	0	0.396
118	396	0	0.333
118	326	0	0.374
119	7	1	0.366
119	13	1	0.497
119	15	1	0.616
119	18	1	0.609
119	26	1	0.576
119	37	0	0.511
119	320	0	0.451
119	233	0	0.463
119	96	0	0.41
120	7	1	0.465
120	1	1	0.55
120	4	1	0.533
120	10	1	0.425
120	19	1	0.592
120	175	0	0.353
120	214	0	0.431
120	148	0	0.521
120	134	0	0.386
121	7	1	0.552
121	4	1	0.597
121	5	1	0.656
121	22	1	0.735
121	28	1	0.621
121	31	1	0.59
121	371	0	0.45
121	404	0	0.346
121	240	0	0.419
121	64	0	0.559
122	7	1	0.498
122	7	1	0.498
122	17	1	0.752
122	20	1	0.631
122	30	1	0.854
122	356	0	0.522
122	347	0	0.376
122	194	0	0.302
122	265	0	0.18
122	362	0	0.276
122	259	0	0.338
122	80	0	0.326
123	7	1	0.556
123	2	1	0.583
123	20	1	0.707
123	21	1	0.493
123	223	0	0.357
123	257	0	0.428
123	264	0	0.307
123	120	0	0.399
123	402	0	0.703
123	49	0	0.445
123	242	0	0.259
124	8	1	0.615
124	13	1	0.564
124	18	1	0.543
124	22	1	0.661
124	26	1	0.603
124	35	1	0.646
124	405	0	0.291
124	386	0	0.309
124	343	0	0.383
124	159	0	0.495
124	132	0	0.456
125	8	1	0.375
125	4	1	0.601
125	8	1	0.375
125	9	1	0.729
125	10	1	0.417
125	23	1	0.562
125	411	0	0.411
